,appellation,bdod_0-100cm,bdod_100-200cm,cec_0-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_100-200cm,clay_0-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_100-200cm,sand_0-100cm,sand_100-200cm,silt_0-100cm,silt_100-200cm,soc_0-100cm,soc_100-200cm
41,Sonoma Mountain,137.55,146,194.0,190,82.25,105,286.2,315,69.30000000000001,36,130.6,27,57,5.302059991327963,5.800000000000001,338.45000000000005,315,336.75,317,95.5,21
42,Sonoma Valley,145.8,150,217.85000000000002,243,73.0,80,200.35000000000002,200,71.69999999999999,40,112.3,30,42,5.6020599913279625,6.0,324.7,305,380.1,316,79.60000000000001,17
43,Spring Mountain District,135.35,144,196.3,190,157.65,170,314.5,337,66.0,35,120.10000000000002,27,64,5.502059991327963,5.800000000000001,302.75,291,378.95,360,101.85000000000001,26
44,St Helena,154.2,158,246.85,234,28.5,30,207.75,195,71.45,40,119.94999999999999,37,34,6.6020599913279625,7.5,279.9,316,314.1,292,74.25,18
45,Sta Rita Hills,154.8,160,259.95,234,10.0,0,267.0,215,71.25,32,101.25,34,37,7.002059991327963,7.5,321.9,373,338.54999999999995,300,48.199999999999996,10
46,Stags Leap District,149.5,150,234.05,232,39.5,65,264.04999999999995,236,72.7,38,113.25,37,40,5.802059991327963,6.4,256.95,273,407.15,369,71.94999999999999,21
47,Walla Walla Valley,142.95,153,174.9,156,49.349999999999994,115,154.8,144,91.0,44,82.1,37,22,7.902059991327963,8.3,491.05,479,293.34999999999997,283,84.85,42
48,Willamette Valley,148.55,148,196.64999999999998,206,0.0,0,251.20000000000002,192,107.55,40,146.79999999999998,24,70,5.902059991327963,6.6000000000000005,113.6,148,608.4000000000001,589,86.55,10
49,Yakima Valley,155.7,157,112.70000000000002,112,10.0,10,35.15,21,43.6,25,65.2,30,26,7.802059991327964,8.200000000000001,551.2,514,296.95,319,35.65,11
50,Yountville,161.89999999999998,164,225.55,230,0.8,0,288.9,282,66.5,34,117.80000000000001,38,37,6.202059991327963,6.6000000000000005,233.35,260,321.05,306,62.5,14
