,appellation,bdod_0-100cm,bdod_0-5cm,bdod_5-15cm,bdod_15-30cm,bdod_30-60cm,bdod_60-100cm,bdod_100-200cm,cec_0-100cm,cec_0-5cm,cec_5-15cm,cec_15-30cm,cec_30-60cm,cec_60-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_0-5cm,cfvo_5-15cm,cfvo_15-30cm,cfvo_30-60cm,cfvo_60-100cm,cfvo_100-200cm,clay_0-100cm,clay_0-5cm,clay_5-15cm,clay_15-30cm,clay_30-60cm,clay_60-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_0-5cm,nitrogen_5-15cm,nitrogen_15-30cm,nitrogen_30-60cm,nitrogen_60-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_0-5cm,ocd_5-15cm,ocd_15-30cm,ocd_30-60cm,ocd_60-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,phh2o_30-60cm,phh2o_60-100cm,phh2o_100-200cm,sand_0-100cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,sand_30-60cm,sand_60-100cm,sand_100-200cm,silt_0-100cm,silt_0-5cm,silt_5-15cm,silt_15-30cm,silt_30-60cm,silt_60-100cm,silt_100-200cm,soc_0-100cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,soc_30-60cm,soc_60-100cm,soc_100-200cm
29,Paso Robles,168.89999999999998,150,167,166,170,172,170,223.29999999999998,188,190,212,217,245,234,11.0,10,20,10,10,10,10,152.7,130,128,142,155,164,147,50.75,205,100,56,35,29,21,93.50000000000001,287,166,143,73,48,29,33,7.002059991327963,6.9,6.9,7.0,7.2,7.4,7.5,399.7,425,425,413,392,391,422,330.1,344,342,332,335,321,267,44.900000000000006,181,88,59,34,20,9
30,Red Mountain,141.5,130,138,140,142,144,145,121.3,111,114,125,128,118,104,10.0,10,10,10,10,10,10,45.95,52,57,53,47,39,29,48.85,83,72,60,47,36,23,75.6,154,137,104,66,47,28,22,7.802059991327964,7.300000000000001,7.300000000000001,7.4,8.1,8.200000000000001,8.3,361.8,404,373,356,355,361,356,557.25,522,528,547,565,567,582,43.349999999999994,108,80,55,39,25,13
31,Ribbon Ridge,150.9,137,138,145,155,155,155,152.10000000000002,134,130,130,147,172,196,0.0,0,0,0,0,0,0,326.1,228,238,288,339,365,373,89.7,306,181,118,58,53,50,120.75000000000001,348,250,201,74,65,48,53,5.1020599913279625,5.7,5.7,5.7,5.6000000000000005,5.5,5.300000000000001,245.95000000000002,275,272,256,234,241,242,380.9,462,457,430,388,328,276,91.85000000000001,439,232,128,45,35,26
32,Russian River Valley,157.2,148,153,152,159,160,160,219.55,222,186,195,198,253,294,0.0,0,0,0,0,0,0,166.8,121,125,129,135,221,157,69.25,214,130,89,54,40,31,115.15,358,218,167,88,60,32,36,5.6020599913279625,6.0,6.0,6.0,5.9,6.0,6.4,425.55,438,438,437,429,414,506,369.85,417,413,406,400,317,276,59.849999999999994,241,167,92,31,20,7
33,Rutherford,157.60000000000002,150,161,160,156,158,160,242.65,222,214,225,252,252,228,11.0,10,20,10,10,10,10,271.20000000000005,229,231,265,291,274,289,69.55000000000001,200,112,89,58,44,36,117.85,315,221,166,97,65,36,38,6.1020599913279625,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.300000000000001,6.5,6.800000000000001,196.15,202,208,199,190,196,230,359.55,382,391,381,350,348,335,69.7,209,155,85,62,31,16
34,Santa Cruz Mountains,139.75,112,120,133,146,146,149,153.4,214,184,166,142,142,145,183.5,140,145,160,180,210,245,197.5,173,165,195,197,210,193,145.70000000000002,842,208,140,110,72,60,124.95,391,311,186,92,47,25,60,5.502059991327963,5.9,6.0,6.0,6.0,5.9,5.9,442.1,457,471,439,437,438,468,324.85,335,338,336,321,319,283,128.55,515,304,154,95,52,38
35,Santa Lucia Highlands,151.4,120,130,140,158,160,160,219.55,205,195,208,234,221,222,79.5,80,90,70,80,80,78,272.29999999999995,230,248,266,283,278,278,83.1,296,145,100,68,46,40,98.45,313,179,138,78,52,28,41,6.402059991327963,6.5,6.6000000000000005,6.6000000000000005,6.800000000000001,6.800000000000001,6.800000000000001,380.85,397,397,396,381,369,360,213.39999999999998,251,241,217,210,203,223,76.10000000000001,318,179,94,54,30,14
36,Santa Ynez Valley,161.5,144,153,160,162,166,164,238.0,240,223,238,240,240,224,24.5,50,50,20,20,20,20,186.5,150,172,168,182,205,139,81.25000000000001,200,142,99,66,56,40,112.75,239,213,156,95,69,37,41,6.902059991327963,7.0,7.1000000000000005,7.1000000000000005,7.1000000000000005,7.300000000000001,7.5,391.95000000000005,388,385,395,388,396,460,329.0,346,344,342,332,316,243,57.550000000000004,182,134,79,40,28,16
37,Sierra Foothills,164.35,140,145,159,170,170,170,202.7,228,201,192,200,206,205,49.5,40,50,50,50,50,40,267.55,171,186,238,285,298,296,53.7,201,102,67,42,27,15,102.80000000000001,372,222,146,79,41,30,45,5.6020599913279625,6.1000000000000005,6.0,6.0,6.0,6.0,6.1000000000000005,326.9,378,366,342,311,317,332,358.29999999999995,407,408,383,347,339,316,70.6,336,177,78,48,25,14
38,Snipes Mountain,154.3,134,143,150,156,160,156,112.69999999999999,106,111,112,113,114,113,11.45,19,20,10,10,10,10,43.3,51,51,51,44,37,23,41.5,84,56,46,40,32,24,69.15,166,116,91,56,47,27,24,7.802059991327964,7.6000000000000005,7.5,7.6000000000000005,8.1,8.200000000000001,8.200000000000001,597.9000000000001,613,602,595,594,599,592,213.4,232,230,228,214,201,224,38.3,102,78,44,28,26,10
